# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:mu_t 14:k_t 15:S 16:massf[0]-air 17:u 18:T 19:M_local 20:total_p
1.247586280781644019e+00 1.509036221215619422e-01 0.000000000000000000e+00 8.407479177834770168e-06 6.395125920772257722e+00 6.149155071356624092e+00 -7.060305473635189455e-03 0.000000000000000000e+00 1.120763370112899615e+01 1.566377484948056509e+00 6.276214312786245727e-12 6.133588649782132306e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.381318616700355051e+00 6.104171485253719401e-03 3.925719811270109716e+00 1.540509778587914752e+03
1.247405822426205457e+00 1.526886614625308503e-01 0.000000000000000000e+00 9.008499480303003206e-06 6.689823782584958245e+00 6.186308652832935628e+00 -1.717819704737583164e-02 0.000000000000000000e+00 1.138129264490364534e+01 1.543307525789615831e+00 6.002975754487002362e-12 5.866555345313370241e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.253210927069403624e+00 5.925688390436954604e-03 4.008489817936438548e+00 1.747742641967641930e+03
1.247225383117540831e+00 1.544735124008023153e-01 0.000000000000000000e+00 9.609519782770043622e-06 7.167623731325928560e+00 6.238441389834024520e+00 -1.522410012806062890e-02 0.000000000000000000e+00 1.128809262349454912e+01 1.484864077233513324e+00 5.346517490323333317e-12 5.225006533204000953e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.937180942604523892e+00 5.485386876572497829e-03 4.201367695312424821e+00 2.233902918828580368e+03
1.247120263092560410e+00 1.562165218630923447e-01 0.000000000000000000e+00 9.749613531376505153e-06 6.963468972627866016e+00 6.259027408930055714e+00 3.253823341490149831e-03 0.000000000000000000e+00 1.083016046452340753e+01 1.475599981500719915e+00 5.247072684101524529e-12 5.127820472764497170e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.888205902508794054e+00 5.417153527346995137e-03 4.241683608813895390e+00 2.258138419597083612e+03
1.247032332137906874e+00 1.579341645839353325e-01 0.000000000000000000e+00 1.004268796042130651e-05 7.010448737256240292e+00 6.270311039840471778e+00 -4.080660061423406482e-02 0.000000000000000000e+00 1.084210038630998518e+01 1.471457831963704166e+00 5.203010932232727719e-12 5.084759533877916494e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.866407412941651245e+00 5.386783282660803640e-03 4.261381933620047135e+00 2.318795216598052775e+03
1.246944401672306801e+00 1.596517977489661788e-01 0.000000000000000000e+00 1.033576238946686682e-05 6.750535134905277346e+00 6.295134461127895875e+00 -9.192948037817831597e-02 0.000000000000000000e+00 1.013705400293702041e+01 1.449942556824734385e+00 4.978107585085903574e-12 4.864964744086903098e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.754166818020443941e+00 5.230406652941521975e-03 4.342106955015554881e+00 2.404219784461126892e+03
1.246888265814422248e+00 1.613494621058601530e-01 0.000000000000000000e+00 1.041305506868108431e-05 6.116093410081319348e+00 6.336791919581884258e+00 -2.423408771797255223e-01 0.000000000000000000e+00 8.647068120845869288e+00 1.406894083099772264e+00 4.547757450605192622e-12 4.444390402093074989e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.534555287609194352e+00 4.924437934606476670e-03 4.507392759695866502e+00 2.525759897986309625e+03
1.246831951752620737e+00 1.630352441124361118e-01 0.000000000000000000e+00 1.060077148188872179e-05 5.242076441574811341e+00 6.376196843543831427e+00 -4.749606599386544947e-01 0.000000000000000000e+00 6.939258810701041114e+00 1.361347147697589577e+00 4.120225343260784506e-12 4.026570904483915277e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.309403672400648588e+00 4.610750620432124344e-03 4.696716931845741350e+00 2.558689531504925981e+03
1.246775637660712421e+00 1.647210270170644253e-01 0.000000000000000000e+00 1.078848789509614242e-05 4.556823485085003789e+00 6.409309897463878691e+00 -6.834096823019573108e-01 0.000000000000000000e+00 5.620466446405195882e+00 1.314071797543066467e+00 3.705721923417005707e-12 3.621484927967892303e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.083544087675118561e+00 4.296076943996527016e-03 4.905091272649693579e+00 2.660160345191261513e+03
1.246738011090310128e+00 1.663943703612706382e-01 0.000000000000000000e+00 1.083974743118542097e-05 4.234591769944766604e+00 6.424847257981126880e+00 -7.953059243097595488e-01 0.000000000000000000e+00 4.992081763725396470e+00 1.284692202718766163e+00 3.462689506611455288e-12 3.383974549876177320e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.947203670939991582e+00 4.106123791320096840e-03 5.039249064848324799e+00 2.764685526293831117e+03
1.246696744566143877e+00 1.680604158880294463e-01 0.000000000000000000e+00 1.097730336283519147e-05 4.145006691569828483e+00 6.430505697782465724e+00 -8.328793376314261865e-01 0.000000000000000000e+00 4.787915514020904872e+00 1.271670623913921938e+00 3.358462684556606781e-12 3.282115997399644215e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.887761028081470727e+00 4.023306695078333363e-03 5.098976519193324286e+00 2.841161313655714821e+03
