# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:mu_t 14:k_t 15:S 16:massf[0]-air 17:u 18:T 19:M_local 20:total_p
1.247586280781644019e+00 1.509036221215619422e-01 0.000000000000000000e+00 8.407479177834770168e-06 8.646472627412087775e+00 5.796689264574106382e+00 2.519829765465659080e-02 0.000000000000000000e+00 2.031525390049438684e+01 1.813659101382732564e+00 9.742430413585437421e-12 9.521112014808939059e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 5.873855957193608646e+00 8.183614838172153724e-03 3.196159646865417425e+00 9.986715865190420800e+02
1.247405822426205457e+00 1.526886614625308503e-01 0.000000000000000000e+00 9.008499480303003206e-06 8.884468491794564216e+00 5.825502583893501729e+00 3.460722554967643472e-02 0.000000000000000000e+00 2.045124522367931164e+01 1.795180698763824800e+00 9.447686924350758889e-12 9.233058297955617572e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 5.754774537882454410e+00 8.017707387065543465e-03 3.245135925072957228e+00 1.080223509520808875e+03
1.247225383117540831e+00 1.544735124008023153e-01 0.000000000000000000e+00 9.609519782770043622e-06 9.446804471591018881e+00 5.886428830733140494e+00 -3.854734774247861595e-02 0.000000000000000000e+00 2.059578925241825686e+01 1.747071882520238262e+00 8.708331721438369197e-12 8.510485553500570317e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 5.450464576237159520e+00 7.593734525682360910e-03 3.369383425006068578e+00 1.303018911006706276e+03
1.247120263092560410e+00 1.562165218630923447e-01 0.000000000000000000e+00 9.749613531376505153e-06 8.812589674311972487e+00 5.983912492970143049e+00 -7.668524722724030795e-02 0.000000000000000000e+00 1.826217515082096554e+01 1.703289601474121451e+00 8.069926829767518379e-12 7.886573275014496135e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 5.180706190160485392e+00 7.217899853006256618e-03 3.513438840562220999e+00 1.419717852069966057e+03
1.247032332137906874e+00 1.579341645839353325e-01 0.000000000000000000e+00 1.004268796042130651e-05 7.791139632794308767e+00 6.068805124738420709e+00 -3.442357951537596272e-01 0.000000000000000000e+00 1.482708667448492079e+01 1.632267889298844921e+00 7.102000995124001320e-12 6.940623527782715251e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.757675825778761691e+00 6.628522518563471216e-03 3.723996670534063469e+00 1.547795318119176727e+03
1.246944401672306801e+00 1.596517977489661788e-01 0.000000000000000000e+00 1.033576238946686682e-05 6.372508228184944556e+00 6.151713580772954160e+00 -7.447387894240402595e-01 0.000000000000000000e+00 1.066934423735953352e+01 1.531008772413270380e+00 5.860606639404868192e-12 5.727419557983352032e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.185692609297124278e+00 5.831620045690951923e-03 4.047415994913794002e+00 1.725367945028983286e+03
1.246888265814422248e+00 1.613494621058601530e-01 0.000000000000000000e+00 1.041305506868108431e-05 5.386078041318564935e+00 6.231487206602237094e+00 -1.084444506710673162e+00 0.000000000000000000e+00 7.754329235349272764e+00 1.419710568082541480e+00 4.673176428462258200e-12 4.566960288928590553e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.599246602009380069e+00 5.014567621865468131e-03 4.455235188286378545e+00 2.121962983879475360e+03
1.246831951752620737e+00 1.630352441124361118e-01 0.000000000000000000e+00 1.060077148188872179e-05 4.884371475963360965e+00 6.252736972447999086e+00 -1.241932551284972153e+00 0.000000000000000000e+00 6.600683215660080982e+00 1.375479492768129308e+00 4.249876353520493183e-12 4.153276433579992995e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.378471133974411345e+00 4.706977274182071354e-03 4.634661358451414692e+00 2.256377389592136751e+03
1.246775637660712421e+00 1.647210270170644253e-01 0.000000000000000000e+00 1.078848789509614242e-05 4.774125104369830730e+00 6.256251271754451615e+00 -1.272996174241372014e+00 0.000000000000000000e+00 6.398085487404804539e+00 1.369752618854683135e+00 4.197014858565269126e-12 4.101615864955725812e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.350396851534398479e+00 4.667863425285971764e-03 4.661023976914103528e+00 2.258786801461829782e+03
1.246738011090310128e+00 1.663943703612706382e-01 0.000000000000000000e+00 1.083974743118542097e-05 4.787260713430506520e+00 6.258663039310411236e+00 -1.256272322101993799e+00 0.000000000000000000e+00 6.419978250239608109e+00 1.370210389993395061e+00 4.201224072289610724e-12 4.105729451782741597e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.352636630081878621e+00 4.670983945279814573e-03 4.658774231514440700e+00 2.260298275501710577e+03
